KEY	VALUE	COMMENTS
__id	jp	en		
__name	日本語	English	
button.play	プレイ
button.ok	OK
button.cancel	キャンセル
button.loc	<sprite name="ui location">
button.close	閉じる
button.continue	続ける
button.install	導入
button.build	建設
button.start	開始
button.confirm	確定
button.decline	拒絶
button.dontshow	二度と表示しない
button.endgame-continue	プレイを続ける
button.throne	オフィスへ向かう

button.xclose	X
button.qmark	?
button.info	i
button.back	<<

autosave.filename	オートセーブ

	;; 日付・時間
datetime.format.s.0	{month} {dayth}
datetime.format.l.0	{year}年{month} {dayth}
datetime.format.s.1	{month} {day}日
datetime.format.l.1	{year}年{month} {day}日
datetime.format.s.2	{day}日 {month}
datetime.format.l.2	{year}年{month} {day}日
datetime.min	N/A
datetime.max	N/A

datetime.month.1	1月
datetime.month.2	2月
datetime.month.3	3月
datetime.month.4	4月
datetime.month.5	5月
datetime.month.6	6月
datetime.month.7	7月
datetime.month.8	8月
datetime.month.9	9月
datetime.month.10	10月
datetime.month.11	11月
datetime.month.12	12月

datetime.month.short.1	1月
datetime.month.short.2	2月
datetime.month.short.3	3月
datetime.month.short.4	4月
datetime.month.short.5	5月
datetime.month.short.6	6月
datetime.month.short.7	7月
datetime.month.short.8	8月
datetime.month.short.9	9月
datetime.month.short.10	10月
datetime.month.short.11	11月
datetime.month.short.12	12月

datetime.day.1	1日
datetime.day.2	2日
datetime.day.3	3日
datetime.day.4	4日
datetime.day.5	5日
datetime.day.6	6日
datetime.day.7	7日
datetime.day.8	8日
datetime.day.9	9日
datetime.day.10	10日
datetime.day.11	11日
datetime.day.12	12日
datetime.day.13	13日
datetime.day.14	14日
datetime.day.15	15日
datetime.day.16	16日
datetime.day.17	17日
datetime.day.18	18日
datetime.day.19	19日
datetime.day.20	20日
datetime.day.21	21日
datetime.day.22	22日
datetime.day.23	23日
datetime.day.24	24日
datetime.day.25	25日
datetime.day.26	26日
datetime.day.27	27日
datetime.day.28	28日
datetime.day.29	29日
datetime.day.30	30日
datetime.day.31	31日

	;; ui dialogs

ui.check	<sprite name="ui check">
ui.cross	<sprite name="ui cross">
ui.dot	·
ui.clock	<sprite name="ui clock">
ui.iconline	{icon}<indent=20>{text}</indent>
ui.checkline-subitem	<indent=20><sprite name="ui check"></indent><indent=40>{text}</indent>
ui.crossline-subitem	<indent=20><sprite name="ui cross"></indent><indent=40>{text}</indent>
ui.convoline	{icon}<indent=40>{text}</indent>
ui.checkline	<sprite name="ui check"><indent=20>{text}</indent>
ui.crossline	<sprite name="ui cross"><indent=20>{text}</indent>
ui.cash	<sprite name="res cash">

ui.ticket	<sprite name="ui tickets">
ui.ticketsp	<sprite name="ui tickets special">
ui.affiliate	<sprite name="ui biz associate">
ui.affiliate.desc	提携者。長年お前と取引を続け、少なくとも {level} 回の「貸し」がある人物だ。

ui.favors-avail	+{num} <sprite name="ui tickets"> 貸し（恩義）
ui.favors-avail.1	+{num} <sprite name="ui tickets"> 貸し（恩義）
ui.favors-accrued	<b>現在の貸し： {favors}</b>

ui.skill-favor	<sprite name="ui skills">

ui.crew-boss	<sprite name="ui boss">
ui.crew-captain	<sprite name="ui player captain">

ui.copicon	<sprite name="ui pip cops">
ui.copicon.paidyes	<sprite name="ui cop paid">
ui.copicon.paidno	<sprite name="ui cop not paid">
ui.copicon.waiting	<sprite name="ui cop not paid"> <sprite name="ui clock">

ui.heatlevel	<sprite name="ui heat level 0">
ui.heatlevel.1	<sprite name="ui heat level 1">
ui.heatlevel.2	<sprite name="ui heat level 2">
ui.heatlevel.3	<sprite name="ui heat level 3">
ui.heatlevel.4	<sprite name="ui heat level 4">

ui.heatleveltext	注目度：<i>なし</i>
ui.heatlevelexpn	街の静かな一角だ。まだ誰もここで名を上げてはいない。
ui.heatleveltext.1	注目度：<i>わずか</i>
ui.heatlevelexpn.1	当局はこの角地での不審な動きを耳にしているが、まだ本腰は入れていないようだ。
ui.heatleveltext.2	注目度：<i>あり</i>
ui.heatlevelexpn.2	サツが嗅ぎ回っているという噂だ。パクられないよう慎重に動け。
ui.heatleveltext.3	注目度：<i>高い</i>
ui.heatlevelexpn.3	当局はこの界隈の動きをマークしている。賄賂を贈っていないなら、ガサ入れを覚悟しろ。
ui.heatleveltext.4	注目度：<i>最悪</i>
ui.heatlevelexpn.4	この角地はこれ以上ないほど「熱く」なっている。金を掴ませていないなら、しょっちゅうサツが顔を出すだろう。

ui.indays	{num} 日後
ui.indays.1	{num} 日後
ui.days	{num} 日間
ui.days.1	{num} 日間
ui.turns	{num} ターン
ui.turns.1	{num} ターン

ui.trade.sellonce	<sprite name="ui sell">
ui.trade.sellonce.text	売却を提案
ui.trade.sellonce.up-to	（最大 {qtyString} まで売却可能）
ui.trade.sellonce.sales	売上： {price}

ui.trade.buyonce	<sprite name="ui buy">
ui.trade.buyonce.text	購入を提案
ui.trade.buyonce.up-to	（最大 {qtyString} まで購入希望）
ui.trade.buyonce.costvcash	費用： {price}　所持金： {cash}

ui.trade.buysell	<sprite name="ui buy sell">

ui.trade.delivery.sell	定期注文に従い、{resdesc} を {bizdesc} に売却した。
ui.trade.delivery.sinfo	{status} {extra}\n\n受け取った現金： {cash}
ui.trade.delivery.buy	定期注文に従い、{resdesc} を {bizdesc} から購入した。
ui.trade.delivery.binfo	{status} {extra}\n\n総費用： {cash}

ui.trade.transfer	現金を移す


ui.qty	数量： {qty}
ui.percentage	{x}%
ui.amt-full	({percentage} 満杯)
ui.trade.order.mo	単発の注文を設定する
ui.trade.trade.mo	十分な信頼関係がある場合、定期注文を設定する
ui.trade.cancel.mo	この注文をキャンセルする

ui.itempicker.one-time.buy	単発で購入する
ui.itempicker.one-time.sell	単発で売却する
ui.itempicker.biz-stock	相手の在庫
ui.itempicker.offer	こちらの提示
ui.itempicker.car-inv	車両の荷物

ui.moneypicker.money-header	車両と賭場の間で現金を移動させる
ui.moneypicker.building-inventory	建物内の現金
ui.moneypicker.vehicle-inventory	車両内の現金

ui.volume	容積： {vol}
ui.volume.ft3	{num} ft³
ui.volume.m3	{num} m³

ui.length.in	{num} インチ
ui.length.ft	{big}フィート{small}インチ
ui.length.m	{big}.{small}m

ui.arrowpick.icon.mo	配送： {icon}
ui.arrowpick.no-icon.mo	配送

ui.moneypos	${amt}
ui.moneyneg	-${amt}
ui.numpos	+{num}
ui.numneg	-{num}

ui.list.1	{0}
ui.list.2	{0}と{1}
ui.list	{0}、{rest}

ui.value.prop-none	{name}: 0
ui.value.rising	({toval}まで上昇中)
ui.value.falling	({toval}まで下落中)
ui.value.indented	{value}<indent=40>{msg}</indent>
ui.value.from	{fromval} {arrow}  {difference}

ui.resource.line-a-b	{a} {b}
ui.resource.line-ax-b	{a}x {b}
ui.resource.line-a-b-c	{a} {b} {c}
ui.resource.line-ax-b-c	{a}x {b} {c}
ui.resource.line-a-at-b	{a} @ 単価 {b}
ui.resource.is-illegal	\n\n<i>違法なブツ</i>

ui.every-x-days.1	毎日
ui.every-x-days	{num}日ごと
ui.in-x-days.1	1日以内
ui.in-x-days	{num}日以内

ui.numberplacement.1	1位
ui.numberplacement.2	2位
ui.numberplacement.3	3位
ui.numberplacement.4	4位
ui.numberplacement.5	5位
ui.numberplacement.6	6位
ui.numberplacement.7	7位
ui.numberplacement.8	8位
ui.numberplacement.9	9位
ui.numberplacement.10	10位
ui.numberplacement.11	11位
ui.numberplacement.12	12位
ui.numberplacement.13	13位
ui.numberplacement.14	14位
ui.numberplacement.15	15位
ui.numberplacement.16	16位
ui.numberplacement.17	17位
ui.numberplacement.18	18位
ui.numberplacement.19	19位
ui.numberplacement.20	20位
ui.numberplacement.21	21位
ui.numberplacement.22	22位
ui.numberplacement.23	23位
ui.numberplacement.24	24位
ui.numberplacement.25	25位
ui.numberplacement.26	26位
ui.numberplacement.27	27位
ui.numberplacement.28	28位
ui.numberplacement.29	29位
ui.numberplacement.30	30位
ui.numberplacement.31	31位
ui.numberplacement.32	32位
ui.numberplacement.33	33位
ui.numberplacement.34	34位
ui.numberplacement.35	35位
ui.numberplacement.36	36位
ui.numberplacement.37	37位
ui.numberplacement.38	38位
ui.numberplacement.39	39位
ui.numberplacement.40	40位
ui.numberplacement.41	41位
ui.numberplacement.42	42位
ui.numberplacement.43	43位
ui.numberplacement.44	44位
