KEY	VALUE	COMMENTS
__id	jp

﻿ui.rename.random-nickname.m	傷顔
ui.rename.random-nickname.m	恐怖
ui.rename.random-nickname.m	賢者
ui.rename.random-nickname.m	勇敢
ui.rename.random-nickname.m	口八丁
ui.rename.random-nickname.m	凄腕
ui.rename.random-nickname.m	短気
ui.rename.random-nickname.m	働き者
ui.rename.random-nickname.m	老人
ui.rename.random-nickname.f	危険物
ui.rename.random-nickname.f	童顔
ui.rename.random-nickname.f	凄腕
ui.rename.random-nickname.f	短気
ui.rename.random-nickname.f	フラッパー
ui.rename.random-nickname.f	フクロウ
ui.rename.random-nickname.f	豪華
ui.rename.random-nickname.f	狐公
ui.rename.random-nickname.f	シェバ
ui.rename.random-nickname.f	スウェルダム
ui.fight.quote	"""""この街は私たち二人のために十分な広さではない"""""
ui.fight.quote	"""""あなたの仕事のやり方が嫌いなだけ"""""
ui.fight.quote	"""""なめとったらあかんぞ"""""
ui.fight.quote	"""""邪魔をするのはもうたくさんだ"""""
ui.fight.quote	"""""あなたは私の忍耐力を十分に試してきました"""""
ui.fight.quote	"""""お前みたいなのはもうたくさんだ"""""
ui.customcity.newname	新{name}
ui.customcity.newname	２番め{name}
ui.customcity.newname	私自身の{name}
ui.customcity.newname	カスタム{name}
ui.tickers.category.loot-available	オファーがある
ui.tickers.category.loot-available	オファーがある
ui.requirements.biz.player.territory.expected	プレイヤーのテリトリーの中に無いといけない
ui.requirements.biz.player.territory.unexpected	プレイヤーのテリトリーの中にあってはいけない
ui.requirements.biz.player.territory.all	プレイヤーのテリトリーの中に無いといけない（全て）
ui.requirements.biz.player.territory.any	プレイヤーのテリトリーの中に無いといけない（どれか）
ui.requirements.biz.player.territory.none	プレイヤーのテリトリーの中にあってはいけない
ui.requirements.biz.player.territory.expected	プレイヤーのテリトリーの中に無いといけない
ui.requirements.biz.player.territory.unexpected	プレイヤーのテリトリーの中にあってはいけない
ui.requirements.biz.player.territory.all	プレイヤーのテリトリーの中に無いといけない（全て）
ui.requirements.biz.player.territory.any	プレイヤーのテリトリーの中に無いといけない（どれか）
ui.requirements.biz.player.territory.none	プレイヤーのテリトリーの中にあってはいけない
convo.toplevel-start.pos.1	こんにちは。ようこそ どうしたんだ？
convo.toplevel-start.pos.1	お会いできてうれしいです。何か用ですか？
convo.toplevel-train-passenger.pos.1	ごきげんよう。 私は駅長です。どのようなご用件でしょうか？\n\n<i>自分の組織のテリトリーに旅客駅があると、構成員の定員が1人増え、全構成員にアクションポイントが1点追加される。</i>。
convo.toplevel-train-passenger.pos.1	お会いできてうれしいです。私は駅長です。来るのがわかっていたら、部屋を掃除していたのに\n\n<i>自分の組織のテリトリーに旅客駅があると、構成員の定員が1人増え、全構成員にアクションポイントが1点追加されます。</i>
convo.toplevel-train-freight.pos.1	こんにちわ。私は駅長です。何か御用ですか？\n\n<i>自組織のテリトリーに貨物駅があると、トラックの容量が2増加し、全構成員に移動ポイントが2ポイント加算される。</i>
convo.toplevel-train-freight.pos.1	お会いできてうれしいです。私は駅長です。来るのがわかっていたら、部屋を掃除していたのに\n\n<i>自組織のテリトリーに貨物駅があると、トラックの容量が2増加し、全構成員に移動ポイントが2ポイント加算されます。</i>
convo.buysell-button	売買の話をしましょう。
convo.buysell-button	売りたいもの、買いたいものは何ですか？
convo.buysell-button	商業の話をしましょうか。モノを買ったり売ったりとか
convo.buysell-button	売りたいもの、買いたいものの話をしましょう。
convo.buysell-button	では・・・ここで何を買ったり売ったりするのでしょうか？
convo.buysell-state.any	売買が私の仕事です。{details}
convo.buysell-state.any	ああ・・・いい買い物ができたと思う。{details}
convo.buysell-state.any	いつもお買い得品に目を光らせています。{details}
convo.buysell-button-header	これは面白そうですね:
convo.buysell-button-header	いくつかアイデアがあります:
convo.sell-select-npc	それは面白そうですね。\n<indent=15><i>( {unitname}{priceshift}あたり{unitprice} で購入することを提案する.)</i></indent>
convo.sell-select-npc	使えると思うんですけどね。\n<indent=15><i>({unitname}{priceshift}あたり{unitprice} で購入することを提案する)</i></indent>
convo.outpost.nonhuman-defies-npc	気でも狂ったか？{gangname}に潰される！私はビジネスを守らなければならない
convo.outpost.nonhuman-defies-npc	バカにしないでください! この辺りは{gangname}が支配してるんだ 首を突っ込まないよ。
convo.moduleintro.inventory	確かに、その辺に転がっている酒を買ってくれる人を知っていますよ。
convo.moduleintro.inventory	最近、処分しにくいかもしれない在庫があるそうですね。
convo.ticket-skills-details-button	もっと詳しく教えてほしい。どういう意味か説明してください。
convo.ticket-skills-details-button	では、具体的にはどのようなことを想定しているのでしょうか。
convo.ticket-skills-details-button	詳しく教えてください。
convo.ticket-skills-tellmore-button	これは便利そうですね。何が必要なのでしょうか？
convo.ticket-skills-tellmore-button	これは便利そうだ。何が必要ですか？
convo.ticket-building-details-npc	近所に{bizname}という会社があります。今のオーナーが引退したいので、全部売るそうです。
convo.ticket-building-details-npc	近所に{bizname}という会社があります。今のオーナーがこの町から引っ越したいと言って、全部を売りたがってるそうです。
convo.ticket-building-details-npc	近所に{bizname}という会社があるんです。今のオーナーは倒産したらしい・・・で、全部売るらしい。
convo.ticket-building-done-ok-button	一緒にビジネスをしていきましょう。
convo.ticket-building-done-ok-button	Here's to a successful future.
convo.initiative-qreq-no-npc	Ah・・that is too bad.
convo.initiative-qreq-no-npc	残念なことです。
convo.initiative-qreq-no-npc	聞いてみようと思ったんだ。
convo.goons.toplevel.start.any.1	あなたを知っているかしら？見かけたことがあるような
convo.goons.toplevel.start.any.1	見覚えがあるね どこかで会ったような？
convo.goons.toplevel.start.any	まあ・・・社会人でなければね。どうなんだ？
convo.goons.toplevel.start.any	調子はどう？
convo.goons.allowbiz-ask	あなたのコーナーにいる人たちと取引したいんだ。彼らはあなたに逆らうことを恐れているのだがなんとかならないか。
convo.goons.allowbiz-ask	あなたのコーナーのお店をひいきにしてあげたいんです。彼らは、あなたがそれを快く思わないことを恐れているのでしょうが。
convo.goons.allowbiz-npc	私のコーナーで商売をしたい・・・というのは正しい認識でしょうか？
convo.goons.allowbiz-npc	私のテリトリーに入り込もうとしてるのか？
convo.goons.allowbiz-npc	それはいいことだ・・・しかし、ここは私のコーナーだ・・・それはここにいる誰もが知っている。私に何の得があるんだ？
convo.goons.allowbiz-npc	ここはお前の縄張りからはるか彼方にあるぜ・・・。ここは私のコーナーだ。ここのみんなは誰がボスか知っている。
convo.goons.stopaggro-ask	また私や私の仲間を狙えば、その代償を払うことになる。
convo.goons.stopaggro-ask	私の仲間を狙わないでくれ さもないと代償を払うことになる
convo.goons.stopaggro-npc	そうなんですか？どうするんだ？
convo.goons.stopaggro-npc	そうなんですか？それとも何？
convo.goons.stopharassing-ask	この辺の経営者に嫌がらせをするのはやめてほしい。あなたがいると怖くて取引できないんです。
convo.goons.stopharassing-ask	この辺りの企業に嫌がらせをするのはやめてほしい。あんたがいると取引ができない。
convo.goons.stopharassing-npc	残念だ。ここは私の縄張りだ・・・私に指図することはできない。
convo.goons.stopharassing-npc	そうなんですか？それともどうするんだ？
convo.goons.stopstealing-npc	そうなんですか？どうするんだ？
convo.goons.stopstealing-npc	そうなんですか？それとも何？
convo.goons.defiant-npc	そうなんですか？
convo.goons.defiant-npc	怖くなんかないわよ
convo.goons.defiant-npc	<i>*笑い*</i>。
convo.goons.defiant-npc	久々の馬鹿な話だ。
convo.goons.defiant-npc	いやぁ、怖いですねぇ。
convo.goons.compliant-npc	本気のようだな そうかい お前のような奴と問題を起こしたくない。\n<indent=15><i>(要求に応えてくれる。オーナーが安心できるようになれば、近くのコーナーで商売ができるようになる。)</i></indent>
convo.goons.compliant-npc	待てよ、お前もその手の組織なのか？ほら、面倒なことは嫌なんだ。\n<indent=15><i>(要求に応えてくれる。オーナーが安心できるようになれば、近くのコーナーで商売ができるようになる。)</i></indent>
convo.goons.paymore-2-npc	私はあなたと問題を起こしたくはない・・・しかし、あなたと一緒に仕事をすると、収入が減ってしまう。それに、誰だって食っていかなきゃならないんだ。
convo.goons.paymore-2-npc	どんどん要求してきますね。面倒なことは嫌だ・・・でも費用もかかる・・・ほらね。
convo.goons.paymore-2-npc	問題は・・・あなたの影響力の増大が私の収益を圧迫していることです。そして、誰もが食っていかなければならない・・・わかるだろ？
convo.goons.paymore-3-npc	{price}を出せば角が立たないということにしておきましょう。
convo.goons.paymore-3-npc	細かい交渉はやめて、全部で{price}としましょう。
convo.goons.paytomove-3-npc	一日中ボクシングをするためにお金を払いたい？まあ・・・なんというか・・・ついに宝くじ当選が来たようです。\nええ・・・興味はあるんですが・・・でもお金が{amt}ほどかかるんですよね。
convo.goons.paytomove-3-npc	俺を買収したいのか？その響きはいいね ボクシングクラブも悪くないな\n興味がある・・・でも{amt}ほどお金がかかる。
convo.goons.fight.blurb	そうなんですか？ガチンコ勝負か？これはあなたにとって良い結果にはなりませんよ。
convo.goons.fight.blurb	そうなのか？喧嘩したいのか？後悔することになるぞ
convo.gangs.fight.blurb	そうなんですか？で、どうするつもりなんだ？
convo.gangs.fight.blurb	今のは脅しのつもりだったのか？
convo.gangs.fight.blurb	許される？私の存在？私はあなたにレッスンをする必要がありますか？
convo.gangs.fight.blurb	<i>*笑い*</i>。
convo.crew.hello	ボス・・最新情報は？？
convo.crew.hello	会えてうれしいよ、ボス 何か用ですか？
resresults.result-add-fireplace.eventresult.m	夕食後、お酒を飲んでいる時に、「暖炉が欲しい」「こんなのがあったら、オフィスが華やかになる」とおっしゃっていましたね。 まあ・・・{othername}がそれを立ち聞きして、いとこが裕福な顧客のために修復している、特に優雅な暖炉について偶然にも知っているのです。 もし、ご希望であれば・・オフィスに置き換えることができます ただ、設置するための材料が必要なんだそうです。
resresults.result-add-fireplace.eventresult.m	夕食後、お酒を飲んでいる時に、「暖炉が欲しい」「こんなのがあったら、オフィスが華やかになる」とおっしゃっていましたね。 まあ・・・{othername}がそれを立ち聞きして、いとこが裕福な顧客のために修復している、特に優雅な暖炉について偶然にも知っているのです。 もし、ご希望であれば・・オフィスに置き換えることができます ただ、設置するための材料が必要なんだそうです。
relbuff.gang.injury	あなたは彼らの1人を病院送りにした
relbuff.gang.death	あなたは彼らの1人を安置所に送った
relbuff.quest-same-biz	あなたは同じ違法行為に関心を持っているように見える。
relbuff.gang.injury	あなたは彼らの1人を病院送りにした
relbuff.gang.death	あなたは彼らの1人を安置所に送った
relbuff.quest-same-biz	あなたは、同じ違法行為に関心を持っているように見える。
module.flavor-bank	銀行
module.flavor-bank	お金の流れを止めず、金庫を満杯にする金融機関。
module.bootlegger-home-brew-brick-wine.desc	この事業では、この界隈の地元の人たちにブリックワインを少しばかり売っている。たくさん売れるわけでもなく、大金を手にするわけでもなく、かといって警察の目を引くわけでもなく......。
module.bootlegger-home-brew-brick-wine.desc	この事業では、この界隈の地元の人たちに自家製ビールを少しばかり売っている。たくさん売れるわけでもなく、大金を手にするわけでもなく、かといって警察の目を引くわけでもなく......。
module.production-beer-kegs.desc	大麦からビール樽を製造する小さなビール工場。
module.production-beer-kegs.desc	Bottled beer is fine・・but kegs are much easier to distribute. This large brewery makes industrial quantities of suds.
recipe.scopeout.illegal-homebrew	Regular malt syrup deliveries. Regular pick-ups of stone crocks. Something's brewing.
recipe.scopeout.illegal-homebrew	The proprietor certainly enjoys these completely non-alcoholic malt beverages. Perhaps we should get a sip?
recipe.scopeout.illegal-homebrew	The back room is full of stone crocks with hydrometers. Fascinating process for making sauerkraut.
recipe.scopeout.illegal-cider	The owner makes the same error over and over again - leaving apple juice around until it goes 窶拊ad窶・
recipe.scopeout.illegal-cider	Lots of neighbors seem to like coming here for the homemade applesauce. They often emphasize 窶捏auce窶・when ordering.
recipe.scopeout.illegal-cider	No one likes apples this much.
recipe.scopeout.illegal-moonshine	They seem to use a conspicuous amount of neutral alcohol here.
recipe.scopeout.illegal-moonshine	They have stoneware crocks labeled XXX in the back. Curious.
recipe.scopeout.illegal-moonshine	The crocks they sell here contain a remarkably clear and potent liquid.
recipe.scopeout.illegal-homewine	We've heard they specialize in spiced grape juice. Perhaps it's a new trend? Or maybe they mean something else by 窶捏piced窶・
recipe.scopeout.illegal-homewine	The garbage out back always includes a conspicuous number of crates from California・・stained purple.
recipe.scopeout.illegal-homewine	Everyone in the neighborhood raves about the grape juice they make here. No one's grape juice is that good.
recipe.scopeout.illegal-neutral-alcohol	The cases being delivered say 窶扼eutral Alcohol - Industrial Use Only窶・ This doesn't appear to be a factory.
recipe.scopeout.illegal-neutral-alcohol	They use grain alcohol for 窶捏terilizing things窶・ It must be very・・very sterile in there.
recipe.scopeout.illegal-fruit	We can probably talk them into selling some fruit as long as we assure them it will definitely not end up in a still. 
