KEY	VALUE	COMMENTS
__id	jp

﻿﻿__id	en
pedia.dialog.title	禁酒法百科事典
pedia.dialog.default-text	左のトピックを選択し、詳細をご覧ください。さらに詳しく知りたい方はリンクをたどって行くことも可能です
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	原材料
pedia.cat.businesses	ビジネスタイプ
pedia.cat.skills	技術
pedia.cat.gameplay	ゲームプレイ
pedia.cat.gambling	ギャンブル
pedia.cat.others	その他
info.resources.name	原材料
info.resources.desc	売買したり、生産・建設に使うもの。資源にはいくつかの種類があります。\n\n合法的な資源は、あなたがそれを知っている限り、誰からでも買うことができます。\n\n違法な資源は、特定の<link="businesses">企業</link>と売買する前に、<sprite name="ui pip social"> <link="relationships"> 信用レベル</link>が必要です。\n\n<sprite name="map resources HUD">原材料マップオーバーレイ</link> では、あなたの衣装が発見したリソースを販売している企業を見ることができます。\n\n<sprite name="ui skills"><link="skills">スキル</link> を習得し、<sprite name="ui tickets"><link="favors">恩義</link> を交換し、<sprite name="ui quests"><link="missions">ミッション</link> を達成すると、街にはたくさんの資源と機会が開放されることを待っていると分かるはずです。
info.fake-beer.icon	<sprite name="res fake-beer">
info.fake-beer.name	密造ビール
info.fake-beer.desc	"自家製ビールとホップの出会いで、よりお得な飲み物に！\n\n自家醸造ビールは、禁酒法が始まる前に大手ビールメーカーが作っていたものを、より高品質に再現したものです。この <link="refined-booze">精製酒</link> は <link="production-fake-beer">自家製ビール製造</link>で<link="hops">ホップ</link> と <link=""home-brew"">自家製ビール</link> を組み合わせ、それを <link=""small-bottles"">小さな瓶</link> にパッケージして喉が乾いたお客さんに出荷して作られるものです。適切な知識とアップグレードがあれば、<link=""barley"">大麦</link>とホップから直接、<link=""production fake-beer-upgraded"">自家製醸造</link>で作ることも可能です。\n\n<indent=15><b>基本価格\n<sprite name="ui sell"> 1ケースあたり$25</b></indent>\n\n<i><indent=30>ビールを飲む者はすぐに眠くなり、長く眠る者は罪を犯さず、罪を犯さない者は天国に入る。だから、ビールを飲もう。</indent></i>\n<indent=40>—マルティン・ルター</indent>"
info.fake-wine.icon	<sprite name="res fake-wine">
info.fake-wine.name	偽造ワイン
info.fake-wine.desc	"これは、魅力的な（より儲かる）ブリックワインである。\n\n<link="production-fake-wine">密造ワイン作業</link>では、<link="production-fake-wine">ブリックワイン</link>を樽から<link=""bottle"">ボトル</link>に移し、<link=""labels"">ラベル</link>を貼って、この<link=""refined-booze"">精製酒</link>を、フランスらしいおしゃれな名前を持つ何かとして売り込みます。  お客さんは偽物だとわかっていても、同じようにお金を払ってくれる。適切な技術と材料があれば、<link=""production-fake-wine-upgraded"">密造ワイナリー</link>で<link=""grape"">ブドウ</link>から直接作ることもできる。そして、そのブリックワインを別の場所で販売する。\n\n<indent=15><b>基礎価格\n<sprite name="ui sell"> １ケース$28 </b></indent>\n\n<i><indent=30>もっとワインをくれ さもないと放っといてくれ.</i></indent>\n<indent=40>—ルミ</indent>"
info.sparkling-cider.icon	<sprite name="res sparkling-cider">
info.sparkling-cider.name	スパークリングシードル
info.sparkling-cider.desc	"砂糖を使って、ハードシードルに余分な利益と発泡を入れることができる。\n\nスパークリングシードルは、通常の<link=""cider"">ハードシードル</link>に<link=""sugar"">砂糖</link>を加え、で<link="refined-booze">精製酒</link>である。 sparkling-cider"">スパークリングシードル作業</link>， <link=""small-bottles"">小型瓶</link> に入れ、炭酸ガスが十分に発生し、シードルが発泡することを期待して待つのである。しかし、爆発するほど多すぎてもいけない。正しい知識があれば、<link=""production-sparkling-cider-upgraded"">スパークリングサイダー発酵器</link>で<link=""apples"">りんご</link>から直接スパークリングサイダーを作るようアップグレードすることが可能です。\n\n<indent=15><b>基礎価格\n<sprite name="ui sell"> １ケース$25 </b></indent>\n\n<i><indent=30>昨日のパン、今日の肉、そして去年のシードルをくれ。.</i></indent>\n<indent=40>—ベンジャミン・フランクリン</indent>"
info.bathtub-gin.icon	<sprite name="res bathtub-gin">
info.bathtub-gin.name	バスタブ・ジン
info.bathtub-gin.desc	"スパイスは、ムーンシャインをカクテルにふさわしいものに変えてくれる。\n\n<link=""production-bathtub-gin"">バスタブ・ジン製造</link>では、<link=""moonshine"">ムーン・シャイン</link>を<link=""spices"">スパイス</link>で醸造し、<link=""small-bottle"">小瓶</link>に入れて街中の酒場に運び、この酒を<link="refined-booze">精製酒</link>にする。また、<link=""production-bathtub-gin-upgraded"">バスタブ・ジン スチル</link> で <link=""corn-syrup"">コーンシロップ</link> から直接作る方法を学び、ムーンシャインを別の用途に使用することもできる。\n\n<indent=15><b>基礎価格\n<sprite name="ui sell">ケース $24</b></indent>\n\n<i><indent=30>私は自己管理を徹底しています。朝食前にジンより強い酒を飲むこaとはない。.</i></indent>\n<indent=40>—W.C.フィールズ</indent>"
info.moonshine.icon	<sprite name="res moonshine">
info.moonshine.name	ムーンシャイン
info.moonshine.desc	"樽に入れた中性アルコール、またはトウモロコシから作られた、強力なお酒。\n\n禁酒法により、誰もが蒸留酒に工夫を凝らすことを余儀なくされた。<link=""moonshine"">ムーンシャイン</link> は、<link=""homebooze-moonshine"">密造ムーンシャイン事業</link> で、<link=""nute-alcohol"">中性アルコール</link>中の不快（および毒）な添加物を蒸発させて作り、<link=""clocks"">壺</link> で少しだけ精製したお酒を販売する。\n\n<indent=15><b>基礎価格\n<sprite name="ui sell"> １壺$20</b></indent>\n\n<i><indent=30>禁酒法は酔いを戸外や暗い場所に追いやるだけで、治すことも減らすこともしない。</i></indent>\n<indent=40>—マーク・トウェイン</indent>"
info.brick-wine.icon	<sprite name="res brick-wine">
info.brick-wine.name	ブリックワイン
info.brick-wine.desc	"カリフォルニア産のブドウの濃縮物がブリックワインの壺になった。\n\nカリフォルニアのブドウ園のオーナーは、脱水した均一な形<link=""grape-juice"">ブドウ濃縮物</link>の塊と、発酵を防ぐために何をすべきかという非常に具体的な指示を、他の国々に押し寄せ始めたのです。それは違法ですが、<link=""homebooze-brick-wine"">密造ブリックワイン事業</link> で <link=""crocks"">せっ器の壺</link> に入れて水と混ぜれば、出来上がった <link=""homemade-booze"">自家製酒</link> を売れば良いのだから。\n\n<indent=15><b>基本価格\n<sprite name="ui sell"> １壺$15</b></indent>\n\n<i><indent=30>ワインは最も健康的で最も衛生的な飲み物である.</i></indent>\n<indent=40>—ルイ・パスツール</indent>"
info.cider.icon	<sprite name="res cider">
info.cider.name	ハードシードル
info.cider.desc	せっ器の壺に入れたままのシンプルなリンゴジュースは、すぐにハードシードルになります。\n\nサイダーは、特にアルコール度数の高いハードサイダーは、アメリカでは長い歴史を持つ<link="homemade-booze">自家製酒</link>の一種である。禁酒法時代には、多くの家庭のレシピやおぼろげな記憶から、ハードサイダーのレシピが再興されました。<link="homebooze-cider">密造シードル事業</link>では、<link="apple-juice">りんごジュース</link>を、<link="crocks">せっ器の壺</link>に混ぜ、発酵の魔法を待つことになるのです。\n\n<indent=15><b>基本価格\n<sprite name="ui sell"> 1ケースあたり$12</b></indent>\n\n<i><indent=30>昨日のパン、今日の肉、そして去年のリンゴを私にください。</i></indent>\n<indent=40>—ベンジャミン・フランクリン</indent>
info.home-brew.icon	<sprite name="res home-brew">
info.home-brew.name	自家製ビール
info.home-brew.desc	"乾式醸造所で製造されるモルトシロップは、自家製ビールに容易に転用できる。\n\n\n1920年にアメリカ中の醸造所が突然廃止されたとき、一部の醸造所は<link=""malt"">モルトシロップ</link>を作り始めた。そして、一般の人々が、発酵してビールになってしまうという不運を避けるために、丁寧な説明書を添えた。<link=""homebooze-home-brew"">密造自家製ビール事業</link>では、<link=""crocks"">せっ器の壺</link>とモルトシロップを使って、大量の自家製ビールを製造している。\n\n<indent=15><b>基礎価格\n<sprite name="ui sell"> 1壺$8</b></indent>\n\n<i><indent=30>ビールが造られるところ、ビールが育つところ。</i></indent>\n<indent=40>—チェコの諺</indent>"
info.grape-juice.icon	<sprite name="res grape-juice">
info.grape-juice.name	ぶどう濃縮物
info.grape-juice.desc	"葡萄から作られ、決して発酵させてはいけない。\n\n1920年、ブドウ園のオーナーたちは厳しい決断を迫られた。ある者は他の植物を植えました。ある者は完全に廃業した。しかし、あるものは成長を続けた。彼らは収穫したブドウを出荷しやすいように濃縮したレンガに変えただけだった。ポートワインやシェリー酒などのフレーバーパックを同梱したものもあった。<link=""conversion-grape-juice"">ブドウ圧縮</link>で、<link=""grapes"">ブドウ</link>と<link=""half-barrel"">小型の樽</link>で作ることができます。</indent>\n\n<indent=15><b>基礎価格\n<sprite name="ui buy">小型の樽あたり$12 l</b></indent>\n\n<i><indent=30>1ガロンの水に溶かすと、1ガロンのノンアルコールパンチジュースができます。発酵を防ぐために、1-10%の安息香酸ソーダを加えてください。</i></indent>\n<indent=40>—Vino Sano カリフォルニア・グレープ・ブリックの説明書</indent>\n"
info.malt.icon	<sprite name="res malt">
info.malt.name	モルトシロップ
info.malt.desc	Thick syrup made from sprouted barley that tends to ferment.\n\nBreweries faced a mortal crisis in 1920. Forbidden to make beer， some turned to making ice cream or soda. Some， however， kindled a new health kick， particular to the era when Americans discovered the unique health benefits of drinking malt syrup — which they <i>never</i> left to ferment into a beer-like beverage. Can be made at a <link="conversion-malt">Malt Processor</link> from <link="barley">barley</link>.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $5 per small barrel</b></indent>\n\n<i><indent=30>There are times when the brain draws so upon our vitality that we cannot digest our food， we gain no strength from what we eat. If we let this go on， we sow the seeds of weakness which will blossom in disease. Act at once! Pabst Malt Extract - the "Best" Tonic.</i></indent>\n<indent=40>—Pabst Malt Tonic Advertisement</indent>
info.apple-juice.icon	<sprite name="res apple-juice">
info.apple-juice.name	りんごジュース
info.apple-juice.desc	Apple juice easily converts to hard cider with just a bit of common knowhow.\n\nBrandy and hard cider made from apples were once the most common forms of alcoholic beverage in the US. Now you can use the ubiquity of the humble apple to craft <link="cider">cider</link> for sale. Can be made in a <link="conversion-apple-juice">Apple Press</link> with <link="apples">apples</link> and <link="half-barrel">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $8 per small barrel</b></indent>\n\n<i><indent=30>A gentleman in New Haven County， Conn. has recently ordered a fine apple orchard to to be cut down "because the apples may be ground into cider， the cider may be distilled into a spiritous liquor and liquor， if drunken， will make a man drunk".</i></indent>\n<indent=40>—Phenix Gazette report on Temperance， July 10， 1829</indent>
info.neutral-alcohol.icon	<sprite name="res alcohol-btl">
info.neutral-alcohol.name	中性アルコール
info.neutral-alcohol.desc	Alcohol made undrinkable， but suitable for commercial and industrial purposes.\n\nThe Volstead Act prohibited the production of alcohol intended for consumption， such as whiskey. But industrial ethanol was just too useful and necessary to so many things to ban. So the law required that legal alcohol be made unsuitable for consumption. However， that state is easily reversed if you want to turn it into moonshine. Can be made from <link="corn-syrup">corn syrup</link> and <link="bottles">bottles</link> at a <link="conversion-neutral-alcohol">Backroom Basic Distillery</link>.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $14 per case</b></indent>\n\n<i><indent=30>Liquor for nonbeverage purposes ... may be manufactured， purchased， sold， bartered， transported， imported， exported， delivered， furnished and possessed， but only as herein provided and the commissioner may， upon application， issue permits therefor.</i></indent>\n<indent=40>—The Volstead Act， Title II， Sec 3</indent>
info.crocks.icon	<sprite name="res jugs">
info.crocks.name	せっ器の壺
info.crocks.desc	A basic， common container for making basic homemade booze.\n\nStoneware crocks were used for just about everything. They're cheap， voluminous and easily transported.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $2 each</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going， but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>
info.small-bottles.icon	<sprite name="res small-bottles">
info.small-bottles.name	Small Bottles
info.small-bottles.desc	Small liquor bottles for the more potent drinks.\n\nSmall bottles are for bottling some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $3 per case</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going， but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>
info.bottles.icon	<sprite name="res bottles">
info.bottles.name	瓶
info.bottles.desc	Regular-sized bottles.\n\nBottles are for manufacture， transport and storage of some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $5 per case</b></indent>\n\n<i><indent=30>Drum on your drums， batter on your banjos， sob on the long cool winding saxophones. Go to it， O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>
info.sugar.icon	<sprite name="res sugar">
info.sugar.name	砂糖
info.sugar.desc	Saccharum officinarum\n\nYeast food. Sugar is useful for encouraging the production of yeast and getting things to fizz up.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $6 per case</b></indent>\n\n<i><indent=30>Hog Butcher for the World， Tool Maker， Stacker of Wheat， Player with Railroads and the Nation's Freight Handler;Stormy， husky， brawling， City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>
info.hops.icon	<sprite name="res hops">
info.hops.name	ホップ
info.hops.desc	Humulus lupulus\n\nWith yeast， barley and water they make beer. Hops add the fragrance and flavor to beer and can be used to infuse your brew with more beer-ness.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $25 per crate</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—German toast</indent>
info.spices.icon	<sprite name="res spices">
info.spices.name	香辛料
info.spices.desc	To infuse flavor into different types of booze\n\nThe judicious use of spices can create many kinds of infusions that deliver the flavor and personality to cocktail and drinks at fancy speakeasies.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $15 per box</b></indent>\n\n<i><indent=30><i>Every inordinate cup is unbless'd， and the ingredient is a devil.</i></indent>\n<indent=40>—William Shakespeare</indent>
info.labels.icon	<sprite name="res labels">
info.labels.name	ボトルラベル
info.labels.desc	A convincing label for many bottles of booze.\n\nThese counterfeit labels go on bottles to make the appear to be the real things. If you're making good booze， may as well add a little class with these labels.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $9 per box</b></indent>\n\n<i><indent=30><i>When the wine goes in， strange things come out.</i></indent>\n<indent=40>—Johann Schiller</indent>
info.barley.icon	<sprite name="res barley">
info.barley.name	大麦
info.barley.desc	Hordeum vulgare\n\nThe basis for beer and malt syrup， barley has many nutritional uses and many more in the hands of a skilled brewer.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $9 per box</b></indent>\n\n<i><indent=30><i>Deep-seated preferences cannot be argued about — you cannot argue a man into liking a glass of beer.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>
info.half-barrel.icon	<sprite name="res half-barrel">
info.half-barrel.name	小型樽
info.half-barrel.desc	"液体輸送用の小型の木樽。\n\nこの小さな樽は、ジュースや後の製造のための原料などを運ぶためのもの。\n\n<indent=15><b>基礎価格\n<sprite name=""ui buy""> 各4ドル</b></indent>\n\n<i><indent=30><i>根強い嗜好は議論することができない。例えば、ビール一杯が好きな人を論破することはできない。</i></indent>\n<indent=40>—オリバー・ウェンデル・ホームズ</indent>"
info.corn-syrup.icon	<sprite name="res corn-syrup">
info.corn-syrup.name	コーンシロップ
info.corn-syrup.desc	High in sugars and easy to distill.\n\nIndustrial production of corn syrup is a fairly new thing in the 1920s， but the ease with which it can be fermented and distilled makes it a key ingredient in manufacture of neutral alcohol.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $4 per barrel</b></indent>\n\n<i><indent=30>Lay me on an anvil， O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>
info.grapes.icon	<sprite name="res grapes">
info.grapes.name	Grapes
